country_region,date,confirmed,yesterday_confirmed,daily_case_increase
Afghanistan,2020-04-01,237,174.0,63.0
Afghanistan,2020-04-02,273,237.0,36.0
Afghanistan,2020-04-03,281,273.0,8.0
Afghanistan,2020-04-04,299,281.0,18.0
Afghanistan,2020-04-05,349,299.0,50.0
Afghanistan,2020-04-06,367,349.0,18.0
Afghanistan,2020-04-07,423,367.0,56.0
Afghanistan,2020-04-08,444,423.0,21.0
Afghanistan,2020-04-09,484,444.0,40.0
Afghanistan,2020-04-10,521,484.0,37.0
Afghanistan,2020-04-11,555,521.0,34.0
Afghanistan,2020-04-12,607,555.0,52.0
Afghanistan,2020-04-13,665,607.0,58.0
Afghanistan,2020-04-14,714,665.0,49.0
Afghanistan,2020-04-15,784,714.0,70.0
Afghanistan,2020-04-16,840,784.0,56.0
Afghanistan,2020-04-17,906,840.0,66.0
Afghanistan,2020-04-18,933,906.0,27.0
Afghanistan,2020-04-19,996,933.0,63.0
Afghanistan,2020-04-20,1026,996.0,30.0
Afghanistan,2020-04-21,1092,1026.0,66.0
Afghanistan,2020-04-22,1176,1092.0,84.0
Afghanistan,2020-04-23,1279,1176.0,103.0
Afghanistan,2020-04-24,1351,1279.0,72.0
Afghanistan,2020-04-25,1463,1351.0,112.0
Afghanistan,2020-04-26,1531,1463.0,68.0
Afghanistan,2020-04-27,1703,1531.0,172.0
Afghanistan,2020-04-28,1828,1703.0,125.0
Afghanistan,2020-04-29,1939,1828.0,111.0
Afghanistan,2020-04-30,2171,1939.0,232.0
Afghanistan,2020-05-01,2335,2171.0,164.0
Afghanistan,2020-05-02,2469,2335.0,134.0
Afghanistan,2020-05-03,2704,2469.0,235.0
Afghanistan,2020-05-04,2894,2704.0,190.0
Afghanistan,2020-05-05,3224,2894.0,330.0
Afghanistan,2020-05-06,3392,3224.0,168.0
Afghanistan,2020-05-07,3563,3392.0,171.0
Afghanistan,2020-05-08,3778,3563.0,215.0
Afghanistan,2020-05-09,4033,3778.0,255.0
Afghanistan,2020-05-10,4402,4033.0,369.0
Afghanistan,2020-05-11,4687,4402.0,285.0
Afghanistan,2020-05-12,4963,4687.0,276.0
Afghanistan,2020-05-13,5226,4963.0,263.0
Afghanistan,2020-05-14,5639,5226.0,413.0
Afghanistan,2020-05-15,6053,5639.0,414.0
Afghanistan,2020-05-16,6402,6053.0,349.0
Afghanistan,2020-05-17,6664,6402.0,262.0
Afghanistan,2020-05-18,7072,6664.0,408.0
Afghanistan,2020-05-19,7653,7072.0,581.0
Afghanistan,2020-05-20,8145,7653.0,492.0
Afghanistan,2020-05-21,8676,8145.0,531.0
Afghanistan,2020-05-22,9216,8676.0,540.0
Afghanistan,2020-05-23,9998,9216.0,782.0
Afghanistan,2020-05-24,10582,9998.0,584.0
Afghanistan,2020-05-25,11173,10582.0,591.0
Afghanistan,2020-05-26,11831,11173.0,658.0
Afghanistan,2020-05-27,12456,11831.0,625.0
Afghanistan,2020-05-28,13036,12456.0,580.0
Afghanistan,2020-05-29,13659,13036.0,623.0
Afghanistan,2020-05-30,14525,13659.0,866.0
Afghanistan,2020-05-31,15205,14525.0,680.0
Afghanistan,2020-06-01,15750,15205.0,545.0
Afghanistan,2020-06-02,16509,15750.0,759.0
Afghanistan,2020-06-03,17267,16509.0,758.0
Afghanistan,2020-06-04,18054,17267.0,787.0
Afghanistan,2020-06-05,18969,18054.0,915.0
Afghanistan,2020-06-06,19551,18969.0,582.0
Afghanistan,2020-06-07,20342,19551.0,791.0
Afghanistan,2020-06-08,20917,20342.0,575.0
Afghanistan,2020-06-09,21459,20917.0,542.0
Afghanistan,2020-06-10,22142,21459.0,683.0
Afghanistan,2020-06-11,22890,22142.0,748.0
Afghanistan,2020-06-12,23546,22890.0,656.0
Afghanistan,2020-06-13,24102,23546.0,556.0
Afghanistan,2020-06-14,24766,24102.0,664.0
Afghanistan,2020-06-15,25527,24766.0,761.0
Afghanistan,2020-06-16,26310,25527.0,783.0
Afghanistan,2020-06-17,26874,26310.0,564.0
Afghanistan,2020-06-18,27532,26874.0,658.0
Afghanistan,2020-06-19,27878,27532.0,346.0
Afghanistan,2020-06-20,28424,27878.0,546.0
Afghanistan,2020-06-21,28833,28424.0,409.0
Afghanistan,2020-06-22,29157,28833.0,324.0
Afghanistan,2020-06-23,29481,29157.0,324.0
Afghanistan,2020-06-24,29640,29481.0,159.0
Afghanistan,2020-06-25,30175,29640.0,535.0
Afghanistan,2020-06-26,30451,30175.0,276.0
Afghanistan,2020-06-27,30616,30451.0,165.0
Afghanistan,2020-06-28,30967,30616.0,351.0
Afghanistan,2020-06-29,31238,30967.0,271.0
Afghanistan,2020-06-30,31517,31238.0,279.0
Afghanistan,2020-07-01,31836,31517.0,319.0
Afghanistan,2020-07-02,32022,31836.0,186.0
Afghanistan,2020-07-03,32324,32022.0,302.0
Afghanistan,2020-07-04,32672,32324.0,348.0
Afghanistan,2020-07-05,32951,32672.0,279.0
Afghanistan,2020-07-06,33190,32951.0,239.0
Afghanistan,2020-07-07,33384,33190.0,194.0
Afghanistan,2020-07-08,33594,33384.0,210.0
Afghanistan,2020-07-09,33908,33594.0,314.0
Afghanistan,2020-07-10,34194,33908.0,286.0
Afghanistan,2020-07-11,34366,34194.0,172.0
Afghanistan,2020-07-12,34451,34366.0,85.0
Afghanistan,2020-07-13,34455,34451.0,4.0
Afghanistan,2020-07-14,34740,34455.0,285.0
Afghanistan,2020-07-15,34994,34740.0,254.0
Afghanistan,2020-07-16,35070,34994.0,76.0
Afghanistan,2020-07-17,35229,35070.0,159.0
Afghanistan,2020-07-18,35301,35229.0,72.0
Afghanistan,2020-07-19,35475,35301.0,174.0
Afghanistan,2020-07-20,35526,35475.0,51.0
Afghanistan,2020-07-21,35615,35526.0,89.0
Afghanistan,2020-07-22,35727,35615.0,112.0
Afghanistan,2020-07-23,35928,35727.0,201.0
Afghanistan,2020-07-24,35981,35928.0,53.0
Afghanistan,2020-07-25,36036,35981.0,55.0
Afghanistan,2020-07-26,36157,36036.0,121.0
Afghanistan,2020-07-27,36263,36157.0,106.0
Albania,2020-01-22,0,,
Albania,2020-01-23,0,0.0,0.0
Albania,2020-01-24,0,0.0,0.0
Albania,2020-01-25,0,0.0,0.0
Albania,2020-01-26,0,0.0,0.0
Albania,2020-01-27,0,0.0,0.0
Albania,2020-01-28,0,0.0,0.0
Albania,2020-01-29,0,0.0,0.0
Albania,2020-01-30,0,0.0,0.0
Albania,2020-01-31,0,0.0,0.0
Albania,2020-02-01,0,0.0,0.0
Albania,2020-02-02,0,0.0,0.0
Albania,2020-02-03,0,0.0,0.0
Albania,2020-02-04,0,0.0,0.0
Albania,2020-02-05,0,0.0,0.0
Albania,2020-02-06,0,0.0,0.0
Albania,2020-02-07,0,0.0,0.0
Albania,2020-02-08,0,0.0,0.0
Albania,2020-02-09,0,0.0,0.0
Albania,2020-02-10,0,0.0,0.0
Albania,2020-02-11,0,0.0,0.0
Albania,2020-02-12,0,0.0,0.0
Albania,2020-02-13,0,0.0,0.0
Albania,2020-02-14,0,0.0,0.0
Albania,2020-02-15,0,0.0,0.0
Albania,2020-02-16,0,0.0,0.0
Albania,2020-02-17,0,0.0,0.0
Albania,2020-02-18,0,0.0,0.0
Albania,2020-02-19,0,0.0,0.0
Albania,2020-02-20,0,0.0,0.0
Albania,2020-02-21,0,0.0,0.0
Albania,2020-02-22,0,0.0,0.0
Albania,2020-02-23,0,0.0,0.0
Albania,2020-02-24,0,0.0,0.0
Albania,2020-02-25,0,0.0,0.0
Albania,2020-02-26,0,0.0,0.0
Albania,2020-02-27,0,0.0,0.0
Albania,2020-02-28,0,0.0,0.0
Albania,2020-02-29,0,0.0,0.0
Albania,2020-03-01,0,0.0,0.0
Albania,2020-03-02,0,0.0,0.0
Albania,2020-03-03,0,0.0,0.0
Albania,2020-03-04,0,0.0,0.0
Albania,2020-03-05,0,0.0,0.0
Albania,2020-03-06,0,0.0,0.0
Albania,2020-03-07,0,0.0,0.0
Albania,2020-03-08,0,0.0,0.0
Albania,2020-03-09,2,0.0,2.0
Albania,2020-03-10,10,2.0,8.0
Albania,2020-03-11,12,10.0,2.0
Albania,2020-03-12,23,12.0,11.0
Albania,2020-03-13,33,23.0,10.0
Albania,2020-03-14,38,33.0,5.0
Albania,2020-03-15,42,38.0,4.0
Albania,2020-03-16,51,42.0,9.0
Albania,2020-03-17,55,51.0,4.0
Albania,2020-03-18,59,55.0,4.0
Albania,2020-03-19,64,59.0,5.0
Albania,2020-03-20,70,64.0,6.0
Albania,2020-03-21,76,70.0,6.0
Albania,2020-03-22,89,76.0,13.0
Albania,2020-03-23,104,89.0,15.0
Albania,2020-03-24,123,104.0,19.0
Albania,2020-03-25,146,123.0,23.0
Albania,2020-03-26,174,146.0,28.0
Albania,2020-03-27,186,174.0,12.0
Albania,2020-03-28,197,186.0,11.0
Albania,2020-03-29,212,197.0,15.0
Albania,2020-03-30,223,212.0,11.0
Albania,2020-03-31,243,223.0,20.0
Albania,2020-04-01,259,243.0,16.0
Albania,2020-04-02,277,259.0,18.0
Albania,2020-04-03,304,277.0,27.0
Albania,2020-04-04,333,304.0,29.0
Albania,2020-04-05,361,333.0,28.0
Albania,2020-04-06,377,361.0,16.0
Albania,2020-04-07,383,377.0,6.0
Albania,2020-04-08,400,383.0,17.0
Albania,2020-04-09,409,400.0,9.0
Albania,2020-04-10,416,409.0,7.0
Albania,2020-04-11,433,416.0,17.0
Albania,2020-04-12,446,433.0,13.0
Albania,2020-04-13,467,446.0,21.0
Albania,2020-04-14,475,467.0,8.0
Albania,2020-04-15,494,475.0,19.0
Albania,2020-04-16,518,494.0,24.0
Albania,2020-04-17,539,518.0,21.0
Albania,2020-04-18,548,539.0,9.0
Albania,2020-04-19,562,548.0,14.0
Albania,2020-04-20,584,562.0,22.0
Albania,2020-04-21,609,584.0,25.0
Albania,2020-04-22,634,609.0,25.0
Albania,2020-04-23,663,634.0,29.0
Albania,2020-04-24,678,663.0,15.0
Albania,2020-04-25,712,678.0,34.0
Albania,2020-04-26,726,712.0,14.0
Albania,2020-04-27,736,726.0,10.0
Albania,2020-04-28,750,736.0,14.0
Albania,2020-04-29,766,750.0,16.0
Albania,2020-04-30,773,766.0,7.0
Albania,2020-05-01,782,773.0,9.0
Albania,2020-05-02,789,782.0,7.0
Albania,2020-05-03,795,789.0,6.0
Albania,2020-05-04,803,795.0,8.0
Albania,2020-05-05,820,803.0,17.0
Albania,2020-05-06,832,820.0,12.0
Albania,2020-05-07,842,832.0,10.0
Albania,2020-05-08,850,842.0,8.0
Albania,2020-05-09,856,850.0,6.0
Albania,2020-05-10,868,856.0,12.0
Albania,2020-05-11,872,868.0,4.0
Albania,2020-05-12,876,872.0,4.0
Albania,2020-05-13,880,876.0,4.0
Albania,2020-05-14,898,880.0,18.0
Albania,2020-05-15,916,898.0,18.0
Albania,2020-05-16,933,916.0,17.0
Albania,2020-05-17,946,933.0,13.0
Albania,2020-05-18,948,946.0,2.0
Albania,2020-05-19,949,948.0,1.0
Albania,2020-05-20,964,949.0,15.0
Albania,2020-05-21,969,964.0,5.0
Albania,2020-05-22,981,969.0,12.0
Albania,2020-05-23,989,981.0,8.0
Albania,2020-05-24,998,989.0,9.0
Albania,2020-05-25,1004,998.0,6.0
Albania,2020-05-26,1029,1004.0,25.0
Albania,2020-05-27,1050,1029.0,21.0
Albania,2020-05-28,1076,1050.0,26.0
Albania,2020-05-29,1099,1076.0,23.0
Albania,2020-05-30,1122,1099.0,23.0
Albania,2020-05-31,1137,1122.0,15.0
Albania,2020-06-01,1143,1137.0,6.0
Albania,2020-06-02,1164,1143.0,21.0
Albania,2020-06-03,1184,1164.0,20.0
Albania,2020-06-04,1197,1184.0,13.0
Albania,2020-06-05,1212,1197.0,15.0
Albania,2020-06-06,1232,1212.0,20.0
Albania,2020-06-07,1246,1232.0,14.0
Albania,2020-06-08,1263,1246.0,17.0
Albania,2020-06-09,1299,1263.0,36.0
Albania,2020-06-10,1341,1299.0,42.0
Albania,2020-06-11,1385,1341.0,44.0
Albania,2020-06-12,1416,1385.0,31.0
Albania,2020-06-13,1464,1416.0,48.0
Albania,2020-06-14,1521,1464.0,57.0
Albania,2020-06-15,1590,1521.0,69.0
Albania,2020-06-16,1672,1590.0,82.0
Albania,2020-06-17,1722,1672.0,50.0
Albania,2020-06-18,1788,1722.0,66.0
Albania,2020-06-19,1838,1788.0,50.0
Albania,2020-06-20,1891,1838.0,53.0
Albania,2020-06-21,1962,1891.0,71.0
Albania,2020-06-22,1995,1962.0,33.0
Albania,2020-06-23,2047,1995.0,52.0
Albania,2020-06-24,2114,2047.0,67.0
Albania,2020-06-25,2192,2114.0,78.0
Albania,2020-06-26,2269,2192.0,77.0
Albania,2020-06-27,2330,2269.0,61.0
Albania,2020-06-28,2402,2330.0,72.0
Albania,2020-06-29,2466,2402.0,64.0
Albania,2020-06-30,2535,2466.0,69.0
Albania,2020-07-01,2580,2535.0,45.0
Albania,2020-07-02,2662,2580.0,82.0
Albania,2020-07-03,2752,2662.0,90.0
Albania,2020-07-04,2819,2752.0,67.0
Albania,2020-07-05,2893,2819.0,74.0
Albania,2020-07-06,2964,2893.0,71.0
Albania,2020-07-07,3038,2964.0,74.0
Albania,2020-07-08,3106,3038.0,68.0
Albania,2020-07-09,3188,3106.0,82.0
Albania,2020-07-10,3278,3188.0,90.0
Albania,2020-07-11,3371,3278.0,93.0
Albania,2020-07-12,3454,3371.0,83.0
Albania,2020-07-13,3571,3454.0,117.0
Albania,2020-07-14,3667,3571.0,96.0
Albania,2020-07-15,3752,3667.0,85.0
Albania,2020-07-16,3851,3752.0,99.0
Albania,2020-07-17,3906,3851.0,55.0
Albania,2020-07-18,4008,3906.0,102.0
Albania,2020-07-19,4090,4008.0,82.0
Albania,2020-07-20,4171,4090.0,81.0
Albania,2020-07-21,4290,4171.0,119.0
Albania,2020-07-22,4358,4290.0,68.0
Albania,2020-07-23,4466,4358.0,108.0
Albania,2020-07-24,4570,4466.0,104.0
Albania,2020-07-25,4637,4570.0,67.0
Albania,2020-07-26,4763,4637.0,126.0
Albania,2020-07-27,4880,4763.0,117.0
Algeria,2020-01-22,0,,
Algeria,2020-01-23,0,0.0,0.0
Algeria,2020-01-24,0,0.0,0.0
Algeria,2020-01-25,0,0.0,0.0
Algeria,2020-01-26,0,0.0,0.0
Algeria,2020-01-27,0,0.0,0.0
Algeria,2020-01-28,0,0.0,0.0
Algeria,2020-01-29,0,0.0,0.0
Algeria,2020-01-30,0,0.0,0.0
Algeria,2020-01-31,0,0.0,0.0
Algeria,2020-02-01,0,0.0,0.0
Algeria,2020-02-02,0,0.0,0.0
Algeria,2020-02-03,0,0.0,0.0
Algeria,2020-02-04,0,0.0,0.0
Algeria,2020-02-05,0,0.0,0.0
Algeria,2020-02-06,0,0.0,0.0
Algeria,2020-02-07,0,0.0,0.0
Algeria,2020-02-08,0,0.0,0.0
Algeria,2020-02-09,0,0.0,0.0
Algeria,2020-02-10,0,0.0,0.0
Algeria,2020-02-11,0,0.0,0.0
Algeria,2020-02-12,0,0.0,0.0
Algeria,2020-02-13,0,0.0,0.0
Algeria,2020-02-14,0,0.0,0.0
Algeria,2020-02-15,0,0.0,0.0
Algeria,2020-02-16,0,0.0,0.0
Algeria,2020-02-17,0,0.0,0.0
Algeria,2020-02-18,0,0.0,0.0
Algeria,2020-02-19,0,0.0,0.0
Algeria,2020-02-20,0,0.0,0.0
Algeria,2020-02-21,0,0.0,0.0
Algeria,2020-02-22,0,0.0,0.0
Algeria,2020-02-23,0,0.0,0.0
Algeria,2020-02-24,0,0.0,0.0
Algeria,2020-02-25,1,0.0,1.0
Algeria,2020-02-26,1,1.0,0.0
Algeria,2020-02-27,1,1.0,0.0
Algeria,2020-02-28,1,1.0,0.0
Algeria,2020-02-29,1,1.0,0.0
Algeria,2020-03-01,1,1.0,0.0
Algeria,2020-03-02,3,1.0,2.0
Algeria,2020-03-03,5,3.0,2.0
Algeria,2020-03-04,12,5.0,7.0
Algeria,2020-03-05,12,12.0,0.0
Algeria,2020-03-06,17,12.0,5.0
Algeria,2020-03-07,17,17.0,0.0
Algeria,2020-03-08,19,17.0,2.0
Algeria,2020-03-09,20,19.0,1.0
Algeria,2020-03-10,20,20.0,0.0
Algeria,2020-03-11,20,20.0,0.0
Algeria,2020-03-12,24,20.0,4.0
Algeria,2020-03-13,26,24.0,2.0
Algeria,2020-03-14,37,26.0,11.0
Algeria,2020-03-15,48,37.0,11.0
Algeria,2020-03-16,54,48.0,6.0
Algeria,2020-03-17,60,54.0,6.0
Algeria,2020-03-18,74,60.0,14.0
Algeria,2020-03-19,87,74.0,13.0
Algeria,2020-03-20,90,87.0,3.0
Algeria,2020-03-21,139,90.0,49.0
Algeria,2020-03-22,201,139.0,62.0
Algeria,2020-03-23,230,201.0,29.0
Algeria,2020-03-24,264,230.0,34.0
Algeria,2020-03-25,302,264.0,38.0
Algeria,2020-03-26,367,302.0,65.0
Algeria,2020-03-27,409,367.0,42.0
Algeria,2020-03-28,454,409.0,45.0
Algeria,2020-03-29,511,454.0,57.0
Algeria,2020-03-30,584,511.0,73.0
Algeria,2020-03-31,716,584.0,132.0
Algeria,2020-04-01,847,716.0,131.0
Algeria,2020-04-02,986,847.0,139.0
Algeria,2020-04-03,1171,986.0,185.0
Algeria,2020-04-04,1251,1171.0,80.0
Algeria,2020-04-05,1320,1251.0,69.0
Algeria,2020-04-06,1423,1320.0,103.0
Algeria,2020-04-07,1468,1423.0,45.0
Algeria,2020-04-08,1572,1468.0,104.0
Algeria,2020-04-09,1666,1572.0,94.0
Algeria,2020-04-10,1761,1666.0,95.0
Algeria,2020-04-11,1825,1761.0,64.0
Algeria,2020-04-12,1914,1825.0,89.0
Algeria,2020-04-13,1983,1914.0,69.0
Algeria,2020-04-14,2070,1983.0,87.0
Algeria,2020-04-15,2160,2070.0,90.0
Algeria,2020-04-16,2268,2160.0,108.0
Algeria,2020-04-17,2418,2268.0,150.0
Algeria,2020-04-18,2534,2418.0,116.0
Algeria,2020-04-19,2629,2534.0,95.0
Algeria,2020-04-20,2718,2629.0,89.0
Algeria,2020-04-21,2811,2718.0,93.0
Algeria,2020-04-22,2910,2811.0,99.0
Algeria,2020-04-23,3007,2910.0,97.0
Algeria,2020-04-24,3127,3007.0,120.0
Algeria,2020-04-25,3256,3127.0,129.0
Algeria,2020-04-26,3382,3256.0,126.0
Algeria,2020-04-27,3517,3382.0,135.0
Algeria,2020-04-28,3649,3517.0,132.0
Algeria,2020-04-29,3848,3649.0,199.0
Algeria,2020-04-30,4006,3848.0,158.0
Algeria,2020-05-01,4154,4006.0,148.0
Algeria,2020-05-02,4295,4154.0,141.0
Algeria,2020-05-03,4474,4295.0,179.0
Algeria,2020-05-04,4648,4474.0,174.0
Algeria,2020-05-05,4838,4648.0,190.0
Algeria,2020-05-06,4997,4838.0,159.0
Algeria,2020-05-07,5182,4997.0,185.0
Algeria,2020-05-08,5369,5182.0,187.0
Algeria,2020-05-09,5558,5369.0,189.0
Algeria,2020-05-10,5723,5558.0,165.0
Algeria,2020-05-11,5891,5723.0,168.0
Algeria,2020-05-12,6067,5891.0,176.0
Algeria,2020-05-13,6253,6067.0,186.0
Algeria,2020-05-14,6442,6253.0,189.0
Algeria,2020-05-15,6629,6442.0,187.0
Algeria,2020-05-16,6821,6629.0,192.0
Algeria,2020-05-17,7019,6821.0,198.0
Algeria,2020-05-18,7201,7019.0,182.0
Algeria,2020-05-19,7377,7201.0,176.0
Algeria,2020-05-20,7542,7377.0,165.0
Algeria,2020-05-21,7728,7542.0,186.0
Algeria,2020-05-22,7918,7728.0,190.0
Algeria,2020-05-23,8113,7918.0,195.0
Algeria,2020-05-24,8306,8113.0,193.0
Algeria,2020-05-25,8503,8306.0,197.0
Algeria,2020-05-26,8697,8503.0,194.0
Algeria,2020-05-27,8857,8697.0,160.0
Algeria,2020-05-28,8997,8857.0,140.0
Algeria,2020-05-29,9134,8997.0,137.0
Algeria,2020-05-30,9267,9134.0,133.0
Algeria,2020-05-31,9394,9267.0,127.0
Algeria,2020-06-01,9513,9394.0,119.0
Algeria,2020-06-02,9626,9513.0,113.0
Algeria,2020-06-03,9733,9626.0,107.0
Algeria,2020-06-04,9831,9733.0,98.0
Algeria,2020-06-05,9935,9831.0,104.0
Algeria,2020-06-06,10050,9935.0,115.0
Algeria,2020-06-07,10154,10050.0,104.0
Algeria,2020-06-08,10265,10154.0,111.0
Algeria,2020-06-09,10382,10265.0,117.0
Algeria,2020-06-10,10484,10382.0,102.0
Algeria,2020-06-11,10589,10484.0,105.0
Algeria,2020-06-12,10698,10589.0,109.0
Algeria,2020-06-13,10810,10698.0,112.0
Algeria,2020-06-14,10919,10810.0,109.0
Algeria,2020-06-15,11031,10919.0,112.0
Algeria,2020-06-16,11147,11031.0,116.0
Algeria,2020-06-17,11268,11147.0,121.0
Algeria,2020-06-18,11385,11268.0,117.0
Algeria,2020-06-19,11504,11385.0,119.0
Algeria,2020-06-20,11631,11504.0,127.0
Algeria,2020-06-21,11771,11631.0,140.0
Algeria,2020-06-22,11920,11771.0,149.0
Algeria,2020-06-23,12076,11920.0,156.0
Algeria,2020-06-24,12248,12076.0,172.0
Algeria,2020-06-25,12445,12248.0,197.0
Algeria,2020-06-26,12685,12445.0,240.0
Algeria,2020-06-27,12968,12685.0,283.0
Algeria,2020-06-28,13273,12968.0,305.0
Algeria,2020-06-29,13571,13273.0,298.0
Algeria,2020-06-30,13907,13571.0,336.0
Algeria,2020-07-01,14272,13907.0,365.0
Algeria,2020-07-02,14657,14272.0,385.0
Algeria,2020-07-03,15070,14657.0,413.0
Algeria,2020-07-04,15500,15070.0,430.0
Algeria,2020-07-05,15941,15500.0,441.0
Algeria,2020-07-06,16404,15941.0,463.0
Algeria,2020-07-07,16879,16404.0,475.0
Algeria,2020-07-08,17348,16879.0,469.0
Algeria,2020-07-09,17808,17348.0,460.0
Algeria,2020-07-10,18242,17808.0,434.0
Algeria,2020-07-11,18712,18242.0,470.0
Algeria,2020-07-12,19195,18712.0,483.0
Algeria,2020-07-13,19689,19195.0,494.0
Algeria,2020-07-14,20216,19689.0,527.0
Algeria,2020-07-15,20770,20216.0,554.0
Algeria,2020-07-16,21355,20770.0,585.0
Algeria,2020-07-17,21948,21355.0,593.0
Algeria,2020-07-18,22549,21948.0,601.0
Algeria,2020-07-19,23084,22549.0,535.0
Algeria,2020-07-20,23691,23084.0,607.0
Algeria,2020-07-21,24278,23691.0,587.0
Algeria,2020-07-22,24872,24278.0,594.0
Algeria,2020-07-23,25484,24872.0,612.0
Algeria,2020-07-24,26159,25484.0,675.0
Algeria,2020-07-25,26764,26159.0,605.0
Algeria,2020-07-26,27357,26764.0,593.0
Algeria,2020-07-27,27973,27357.0,616.0
Andorra,2020-01-22,0,,
Andorra,2020-01-23,0,0.0,0.0
Andorra,2020-01-24,0,0.0,0.0
Andorra,2020-01-25,0,0.0,0.0
Andorra,2020-01-26,0,0.0,0.0
Andorra,2020-01-27,0,0.0,0.0
Andorra,2020-01-28,0,0.0,0.0
Andorra,2020-01-29,0,0.0,0.0
Andorra,2020-01-30,0,0.0,0.0
Andorra,2020-01-31,0,0.0,0.0
Andorra,2020-02-01,0,0.0,0.0
Andorra,2020-02-02,0,0.0,0.0
Andorra,2020-02-03,0,0.0,0.0
Andorra,2020-02-04,0,0.0,0.0
Andorra,2020-02-05,0,0.0,0.0
Andorra,2020-02-06,0,0.0,0.0
Andorra,2020-02-07,0,0.0,0.0
Andorra,2020-02-08,0,0.0,0.0
Andorra,2020-02-09,0,0.0,0.0
Andorra,2020-02-10,0,0.0,0.0
Andorra,2020-02-11,0,0.0,0.0
Andorra,2020-02-12,0,0.0,0.0
Andorra,2020-02-13,0,0.0,0.0
Andorra,2020-02-14,0,0.0,0.0
Andorra,2020-02-15,0,0.0,0.0
Andorra,2020-02-16,0,0.0,0.0
Andorra,2020-02-17,0,0.0,0.0
Andorra,2020-02-18,0,0.0,0.0
Andorra,2020-02-19,0,0.0,0.0
Andorra,2020-02-20,0,0.0,0.0
Andorra,2020-02-21,0,0.0,0.0
Andorra,2020-02-22,0,0.0,0.0
Andorra,2020-02-23,0,0.0,0.0
Andorra,2020-02-24,0,0.0,0.0
Andorra,2020-02-25,0,0.0,0.0
Andorra,2020-02-26,0,0.0,0.0
Andorra,2020-02-27,0,0.0,0.0
